Distance_(pixels),Gray_Value
0,2790.000
1,2956.165
2,2763.888
3,2812.792
4,2776.879
5,2890.405
6,3039.694
7,3138.802
8,3303.427
9,3909.759
10,4430.231
11,4896.400
12,5067.605
13,4823.117
14,4565.200
15,4256.083
16,4168.741
17,4066.826
18,3936.197
19,4064.888
20,4189.727
21,4137.665
22,4243.800
23,4358.486
24,4443.129
25,4638.909
26,4705.952
27,4819.202
28,5227.694
29,6039.230
30,7236.008
31,8014.268
32,8216.604
33,8042.400
34,7420.141
35,6862.231
36,6555.518
37,6402.541
38,6418.514
39,6781.087
40,6899.198
41,7223.395
42,7959.993
43,8810.398
44,9444.000
45,9402.818
46,9178.279
47,8773.916
48,8190.172
49,7851.093
50,7657.281
51,7474.499
52,7600.170
53,7563.542
54,7499.360
55,7905.000
