Distance_(pixels),Gray_Value,Gray_Value,最小值1,最小值2,最大值1,最大值2,归一化值1,归一化值2
0,181,879,175.4,879,302.6,3981.333,0.044025157,0
1,176.667,906.924,175.4,879,302.6,3981.333,0.009960692,0.009000968
2,176.245,958.688,175.4,879,302.6,3981.333,0.006643082,0.025686475
3,186.815,1030.585,175.4,879,302.6,3981.333,0.089740566,0.048861615
4,199.704,1057.151,175.4,879,302.6,3981.333,0.191069182,0.057424848
5,196.877,1020.082,175.4,879,302.6,3981.333,0.16884434,0.045476098
6,197.689,1094.089,175.4,879,302.6,3981.333,0.175227987,0.069331371
7,192.73,1178.779,175.4,879,302.6,3981.333,0.136242138,0.096630181
8,180.207,1220.199,175.4,879,302.6,3981.333,0.037790881,0.109981424
9,175.4,1353.4,175.4,879,302.6,3981.333,0,0.152917176
10,201.037,1335.914,175.4,879,302.6,3981.333,0.201548742,0.147280772
11,190.339,1391.837,175.4,879,302.6,3981.333,0.117444969,0.165306884
12,183.363,1464.2,175.4,879,302.6,3981.333,0.062602201,0.188632233
13,207.88,1550.199,175.4,879,302.6,3981.333,0.255345912,0.216352983
14,223.151,1696.388,175.4,879,302.6,3981.333,0.375400943,0.263475262
15,221.259,1873.852,175.4,879,302.6,3981.333,0.36052673,0.320678663
16,207.248,1995.133,175.4,879,302.6,3981.333,0.250377358,0.359772146
17,210.752,2185.966,175.4,879,302.6,3981.333,0.277924528,0.421284885
18,233.867,2279.267,175.4,879,302.6,3981.333,0.459646226,0.451359348
19,229.178,2446.725,175.4,879,302.6,3981.333,0.422783019,0.505337435
20,214.424,2665.296,175.4,879,302.6,3981.333,0.306792453,0.575791187
21,208.385,2784,175.4,879,302.6,3981.333,0.259316038,0.614054004
22,246.758,2948.658,175.4,879,302.6,3981.333,0.560990566,0.667129544
23,273.194,3073.09,175.4,879,302.6,3981.333,0.768820755,0.707238714
24,249.578,3160.541,175.4,879,302.6,3981.333,0.583160377,0.735427499
25,249.539,3274.214,175.4,879,302.6,3981.333,0.582853774,0.772068634
26,241.455,3345.119,175.4,879,302.6,3981.333,0.519300314,0.794924014
27,239,3404.2,175.4,879,302.6,3981.333,0.5,0.813968069
28,250.824,3544.155,175.4,879,302.6,3981.333,0.592955975,0.859080892
29,257.474,3568.545,175.4,879,302.6,3981.333,0.645235849,0.866942717
