Distance_(pixels),Gray_Value,,
0,1011,1995.947,0.506526476
1,1041.526,1995.947,0.521820469
2,1103.105,1995.947,0.552672491
3,1078.789,1995.947,0.540489803
4,1171.053,1995.947,0.586715479
5,1215.342,1995.947,0.608904946
6,1337.263,1995.947,0.669989233
7,1391.184,1995.947,0.69700448
8,1560.316,1995.947,0.781742201
9,1576.605,1995.947,0.789903239
10,1796.526,1995.947,0.900087026
11,1748.5,1995.947,0.876025265
12,1810,1995.947,0.906837707
13,1813.105,1995.947,0.908393359
14,1995.947,1995.947,1
15,1892.368,1995.947,0.948105335
16,1849.684,1995.947,0.926719998
17,1683.447,1995.947,0.843432716
18,1653.158,1995.947,0.828257464
19,1570,1995.947,0.786594033
20,1481.947,1995.947,0.742478132
21,1443.632,1995.947,0.72328173
22,1403.211,1995.947,0.703030191
23,1272,1995.947,0.637291471
24,1276.474,1995.947,0.639533014
25,1317.553,1995.947,0.660114221
26,1250.053,1995.947,0.626295688
27,1273.289,1995.947,0.63793728
28,1164.158,1995.947,0.583260978
29,1171.158,1995.947,0.586768086
30,1170.211,1995.947,0.586293624
31,1195.079,1995.947,0.598752873
32,1111.947,1995.947,0.557102468
33,1134.816,1995.947,0.568560187
34,1047.158,1995.947,0.524642187
35,1106.263,1995.947,0.554254697
36,1195.263,1995.947,0.59884506
37,1037.974,1995.947,0.520040863
38,1164,1995.947,0.583181818
39,1156.368,1995.947,0.579358069
40,1313.158,1995.947,0.657912259
41,1254.158,1995.947,0.628352356
42,1274.737,1995.947,0.63866275
43,1314.447,1995.947,0.658558068
44,1351.421,1995.947,0.677082608
45,1376.974,1995.947,0.689885052
46,1338.789,1995.947,0.670753783
47,1507.474,1995.947,0.75526755
48,1523.579,1995.947,0.763336401
49,1587.684,1995.947,0.795453988
50,1767.737,1995.947,0.885663297
51,1808.816,1995.947,0.906244504
52,1825.211,1995.947,0.91445865
53,1825.974,1995.947,0.914840925
54,1806.263,1995.947,0.904965412
55,1784.711,1995.947,0.894167531
56,1800.368,1995.947,0.902011927
57,1719.5,1995.947,0.861495821
58,1760.474,1995.947,0.882024422
59,1727.053,1995.947,0.86527999
60,1769.105,1995.947,0.886348686
61,1681.079,1995.947,0.842246312
62,1608.579,1995.947,0.805922702
63,1693.421,1995.947,0.848429843
64,1586.842,1995.947,0.795032133
65,1452,1995.947,0.727474227
66,1492.211,1995.947,0.747620553
67,1504.921,1995.947,0.753988458
68,1459.947,1995.947,0.731455795
69,1252.316,1995.947,0.627429486
70,1202.789,1995.947,0.602615701
71,1115.263,1995.947,0.558763835
72,1016.579,1995.947,0.50932164
73,962.816,1995.947,0.482385554
74,799.895,1995.947,0.400759639
75,641.289,1995.947,0.321295606
76,624,1995.947,0.312633552
