FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity
0.153964385,0.3573934,0.73125,91.92813607
0.088995293,0.96185726,0.754214729,94.6388898
0.111676216,0.91835976,0.782322863,92.78053105
0.089323916,0.8886702,0.766964286,87.77080933
0.081606239,0.7822684,0.770899471,109.0832782
,0.63324773,0.777880184,112.9477821
,0.7823503,0.796470588,116.4955605
0.111767814,0.817065,0.771683673,121.6933123
0.123984903,0.6274024,0.777777778,115.3623205
0.112552322,0.7694354,0.773148148,124.3011358
,0.7964572,0.744975745,115.5537867
,0.8036251,0.726381462,115.8379662
0.086126611,0.9287257,0.774750831,116.5335882
0.097585581,0.9277243,0.7696567,117.4336489
0.104916707,0.8147352,0.744444444,128.0376817
0.138976693,0.28408504,0.780525031,141.7835373
0.127554253,0.5225668,0.732879819,140.7701452
0.123552352,0.6331806,0.752688172,146.1626316
0.125475243,0.7929295,0.764299183,140.9047597
0.138764501,0.7114293,0.771700357,152.1906156
0.14269425,0.1493007,0.675675676,144.6403435
,0.8833643,0.683579986,105.5215704
,0.78961164,0.738708473,102.6002645
0.103818201,0.7778214,0.57238806,93.76309227
0.147792205,0.69937015,0.708261246,95.00758706
0.138755575,0.839944,0.724,98.02722307
0.166642129,0.8592137,0.764619525,95.0550085
0.12684764,0.7434849,0.767512077,100.1074578
0.147508368,0.48930532,0.772093023,108.6124101
0.145842746,0.9048989,0.786264442,105.9397927
0.130046248,0.91490746,0.8,120.6722999
0.099434257,0.84125453,0.770189702,106.0387003
,0.9035138,0.778532609,117.784901
0.149105474,0.87791646,0.786466165,125.7356947
,0.8081093,0.741883117,129.7605884
0.137326568,0.7141107,0.728794643,125.0842707
0.117438391,0.8582296,0.791111111,126.3989849
0.088127337,0.7994522,0.754887218,125.8866768
0.132716745,0.819339,0.665186829,126.6281589
,0.8108671,0.765384615,136.7442152
0.083179787,0.34877843,0.752702703,142.8520946
,0.9163488,0.735279565,138.84369
0.078216434,0.7508422,0.74895647,137.8068727
0.075994745,0.75212115,0.69968652,139.1083069
0.07892441,0.7974057,0.798496241,142.6660164
0.075008243,0.91273177,0.785412262,135.8146521
0.131253392,0.5444133,0.708061002,112.7953688
0.129783317,0.5465956,0.700443787,114.8971639
0.147297144,0.78910255,0.767777778,113.1753554
,0.8300891,0.761290323,108.7956407
0.16374068,0.8843988,0.735714286,110.3527172
0.136689588,0.6957139,0.821731749,104.7356876
0.145185769,0.8521284,0.757575758,131.8598941
0.166204304,0.83524764,0.693240093,110.8624935
0.136725813,0.70076674,0.786703601,133.5528689
0.117332548,0.799624,0.756529851,129.0139276
0.134604365,0.71065253,0.761371127,139.2584021
0.138317451,0.82521015,0.725752508,135.2150139
0.101512186,0.8375795,0.756170213,88.36644155
,0.7425325,0.760389036,91.87330317
0.114115827,0.49219763,0.746875,88.89450718
0.126582444,0.50780606,0.757575758,95.0692933
0.15227446,0.92125595,0.74411303,89.97080763
0.090508029,0.8060951,0.754813864,92.97380289
0.098739102,0.857872,0.748102467,94.08017794
0.085279167,0.7238821,0.730902778,89.13833237
0.133116961,0.95568794,0.794871795,94.67081314
,0.5582787,0.662162162,91.47336635
,0.9386266,0.838141026,125.3973034
0.103781283,0.8607949,0.791111111,125.5849738
0.081700943,0.74873114,0.765500795,127.2531118
0.086694412,0.88742495,0.764418377,128.7218464
0.088899732,0.87516165,0.788762447,132.1687829
0.090497784,0.8394061,0.771103896,129.761311
0.121809706,0.3538216,0.769565217,119.5102242
0.105910107,0.7437993,0.762393162,122.3256775
,0.82409894,0.778642937,130.8588701
0.12657389,0.84057987,0.66953125,116.8671304
0.112100989,0.90402365,0.728268809,123.2641869
0.119822606,0.70409894,0.828078078,123.9469795
0.164532974,0.37562957,0.807692308,115.2837214
0.138787404,0.8714043,0.758873929,112.4709255
0.137522116,0.75092614,0.792792793,114.5485814
0.164562702,0.40325102,0.816738817,110.5772931
0.138612583,0.937744,0.760802469,117.364043
0.156628489,0.9445763,0.791666667,118.9962505
0.13520433,0.7517053,0.738900634,110.1957207
0.107756659,0.353275,0.703703704,112.3644128
0.098987073,0.8753058,0.758556548,97.38658281
,0.75966483,0.687804878,99.58672317
,0.7719995,0.752834467,104.9748912
,0.89377856,0.781521739,102.2107336
